name,logo,image,image_upright,image_caption,trading_name,former_name,type,traded_as,industry,area_served,key_people,products,services,revenue,revenue_year,operating_income,income_year,net_income,net_income_year,assets,assets_year,equity,equity_year,founders,founded,hq_location,hq_location_city,hq_location_country,num_employees,website,footnotes,_company_name,logo_alt,image_alt,trade_name,founder,brands,logo_size,image_size,location,subsid,owner,foundation,predecessor,num_employees_year,former_names,ISIN,logo_upright,logo_caption,num_locations,num_locations_year,module,parent,homepage,predecessors,owners,location_city,location_country,divisions,locations,members,members_year,production,defunct,fate,successor,native_name,logo_class,genre
"Ross Stores, Inc.",Ross Stores logo.svg,Ross Store 01.jpg,,,,,[[Public company|Public]],{{ubl|NASDAQ|ROST|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ROST}},[[Retail]],{{ubl|[[United States]]|[[Guam]] | [[Puerto Rico]]}},"{{plainlist|
* James Conroy ([[Chief executive officer|CEO]])
* K. Gunnar Bjorklund ([[executive chairman]])
* Michael Balmuth ([[President (corporate title)|president]])
* Michael J. Hartshorn ([[Chief operating officer|COO]])}}","Clothing, footwear, bedding, bath, furniture, home decor, jewelry, beauty products, toys, appliances, housewares, and giftware.",,{{increase}} {{US$|14.89 billion|link|=|yes}} (2018),,{{profit}} US$1.61 billion (2015),,{{profit}} US$1.02 billion (2015),,{{profit}} US$4.87 billion (2015),,{{increase}} US$2.47 billion (2015),,,,,,,"88,100 (2019)",,,Ross Stores,,,Ross Dress for Less,Morris Ross<br>Bill Isackson,,,,,dd's Discounts,,"{{sda|1950}} , in [[Pacifica, California]], U.S.",,,,,,,"{{plainlist|
* 1,795 (Ross Dress for Less)|ref|{{cite web|url=https://www.retaildive.com/news/ross-stores-adds-24-stores/721968/ |title=Ross Stores adds 24 new locations in 2 months }}|</ref>|
* 353 (DD's Discounts)|ref|{{cite web|url=https://www.scrapehero.com/location-reports/dd's%20DISCOUNTS-USA/|title=Number of dd's DISCOUNTS stores in the United States in 2023 -|website=scapehero.com}}|</ref>|}} * 353 (DD's Discounts)",,,,{{Unbulleted list|URL|rossstores.com|URL|ddsdiscounts.com}} {{URL|rossstores.com}} {{URL|ddsdiscounts.com}},,,"[[Dublin, California]]",U.S.,,,,,,,,,,,
Shopify Inc.,Shopify logo 2018.svg {{!}} class=skin-invert-image,,,,,,[[Public company|Public]],{{unbulleted list|TSX|SHOP| (Class A)|[[S&P/TSX 60]] component|Nasdaq|SHOP|[[Nasdaq-100]] component}} {{TSX|SHOP}} (Class A) {{Nasdaq|SHOP}},[[E-commerce]],,{{ubl|[[Tobias Lütke]] (CEO)|[[Harley Finkelstein]] (President)}},,[[Online shopping]],{{nowrap|increase| |US$|8.88 billion|link|=|yes| (2024)}} {{increase}} {{US$|8.88 billion|link|=|yes}} (2024),,{{nowrap|increase| |US$|2.02 billion| (2024)}} {{increase}} {{US$|2.02 billion}} (2024),,{{nowrap|increase| |US$|132 million| (2024)}} {{increase}} {{US$|132 million}} (2024),,{{nowrap|increase| |US$|13.9 billion| (2024)}} {{increase}} {{US$|13.9 billion}} (2024),,{{nowrap|increase| |US$|11.6 billion| (2024)}} {{increase}} {{US$|11.6 billion}} (2024),,{{unbulleted list|[[Tobias Lütke]]|Daniel Weinand|Scott Lake}},"{{start date and age|2006}} <br />[[Ottawa]], Ontario, Canada",,"Ottawa, Ontario",Canada,"8,100 (2024)",{{URL|https://www.shopify.com/|shopify.com}},,Shopify,,,,,,,,,,,,,,,{{ISIN|sl|=|n|pl|=|y|CA82509L1076}},1.15,,,,,,,,,,,,,,,,,,,,,
Solstice Advanced Materials,,,,,,,[[Public company|Public]],{{ndaq|SOLS}} <br>[[Nasdaq-100]] component<br>[[S&P 500]] component,[[Chemical industry|Chemicals]],,,,,,,,,,,,,,,,{{start date and age|2025|10|30}},"[[Morris Plains, New Jersey]]",,,,,,Solstice Advanced Materials,,,,,,,,,,,,[[Honeywell]]'s specialty materials operations,,,,,,,,,,,,,,,,,,,,,,,,,
Starbucks Corporation,Starbucks Corporation Logo 2011.svg,Starbuckscenter.jpg,,"Headquarters at [[Starbucks Center]] in Seattle, Washington",,,[[Public]],"{{Plainlist|
* |NASDAQ|SBUX|
* [[Nasdaq-100]] component
* [[S&P 100]] component
* [[S&P 500]] component}} {{NASDAQ|SBUX}} * [[Nasdaq-100]] component
* [[S&P 100]] component
* [[S&P 500]] component",[[Restaurant]],87 countries,"{{Plainlist|
* [[Howard Schultz]] (chairman emeritus)
* [[Brian Niccol]] (chairman and CEO)}}","{{flat list|
* Coffee beverages
* smoothies
* tea
* baked goods
* sandwiches}}",,{{increase}} US$37.18&nbsp;billion,2025,{{decrease}} US$2.937&nbsp;billion,2025,{{decrease}} US$1.856&nbsp;billion,2025,{{increase}} US$32.02&nbsp;billion,2025,{{decrease}} US$&minus;8.09&nbsp;billion,2025,"{{Plainlist|
* [[Jerry Baldwin]]
* [[Zev Siegl]]
* [[Gordon Bowker]]}}","{{Start date and age|1971|03|30}} , in [[Pike Place Market]], [[Elliott Bay]], Seattle, Washington, U.S.",[[Starbucks Center]],[[Seattle]],United States,"{{circa|381,000}}",{{url|https://www.starbucks.com/|starbucks.com}},Financials {{as of|2025|09|28|lc|=|y|df|=|US}} .<br />References:,Starbucks,,,,,,150px,250px,,"{{flat list|
* Starbucks Coffee Company
* [[Ethos Water]]
* [[Hear Music]]
* [[Pascal Rigo|La Boulange Bakery]]
* [[Teavana]]
* [[Torrefazione Italia]]
* [[Tata Starbucks|Tata Starbucks (India)]]}}",,,,2025,,,,Logo since 2011,"40,990",2025,,,,,,,,,,,,,,,,,,[[Coffeehouse]]
"Synopsys, Inc.",Synopsys Logo.svg,675 Almanor Avenue.jpg,1.15,"Headquarters in [[Sunnyvale, California]]",,,[[Public company|Public]],{{Unbulleted list|NASDAQ|SNPS|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|SNPS}},"{{Plainlist |
* [[Integrated circuit]]
* [[Software as a service]]
* [[Software testing]]
* [[Internet of Things]]}}",,"{{Plainlist |
* Aart de Geus ([[chairman]])
* Sassine Ghazi ([[President (corporate title)|president]] & [[Chief executive officer|CEO]])}}",,,{{increase}} {{US$|6.13 billion|link|=|yes}} (2024),,{{increase}} {{US$|1.36 billion}} (2024),,{{increase}} {{US$|2.26 billion}} (2024),,{{increase}} {{US$|13.1 billion}} (2024),,{{increase}} {{US$|8.99 billion}} (2024),,{{ubl|[[Aart de Geus]]|David Gregory|Bill Krieger}} [[Alberto Sangiovanni-Vincentelli]],,"[[Sunnyvale, California]], U.S.",,,"{{circa|28,000}} (2025)",{{URL|https://www.synopsys.com/|synopsys.com}},Financials {{as of|2024|10|31|lc|=|y|df|=|US}} .,Synopsys,,,,,,,,,,,"{{start date and age|1986}} , in [[Research Triangle Park]], North Carolina, U.S.",,,,,1.15,,,,,,,,,,,"{{Unbulleted list}} Silicon Design & Verification, Silicon Intellectual Property, Software Integrity Group",,,,,,,,,,
"T-Mobile US, Inc.",T-Mobile US Logo 2022 RGB Magenta on Transparent.svg,"T-Mobile Headquarters in Bellevue, WA.jpg",1.2,"Headquarters in [[Bellevue, Washington]]",,VoiceStream Wireless,[[Public company|Public]] [[subsidiary]],{{ubl|NASDAQ|TMUS|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|TMUS}},[[Telecommunications industry|Telecommunications]],United States,{{Unbulleted list|[[Timotheus Höttges]] ([[chairman]])|[[Srini Gopalan]] ([[President (corporate title)|president]] and [[Chief executive officer|CEO]])}},"{{Unbulleted list
|[[Fixed telephony]]
|[[Mobile telephony]]
|[[Wireless communications]]
|[[Wireless broadband]]
|[[Broadband]]
|[[Internet services]]
|[[Internet of things|IoT]]}}",,{{increase}} {{US$|81.4 billion|link|=|yes}} (2024),,{{increase}} {{US$|18 billion}} (2024),,{{increase}} {{US$|11.3 billion}} (2024),,{{increase}} {{US$|208 billion}} (2024),,{{decrease}} {{US$|61.7 billion}} (2024),,,,,"[[Bellevue, Washington]]",United States,"{{circa|70,000}} (2024)",{{url|https://www.t-mobile.com/|t-mobile.com}},,T-Mobile US,,,,[[John W. Stanton]],,250px,,,[[Metro by T-Mobile]]<br />[[Assurance Wireless]]<br />[[Ultra Mobile]]<br />[[Mint Mobile]],"* [[Deutsche Telekom]] (51.4%)
* [[SoftBank Group]] (7.6%)",{{start date and age|1994}} (as VoiceStream Wireless),,,,{{ISIN|sl|=|n|pl|=|y|US8725901040}},,,,,{{infobox network service provider|child|=|yes|asn|=|21928}},,,"{{plain list|
*[[Western Wireless Corporation]]
*[[Sprint Corporation]]
*[[U.S. Cellular]]}}",,,,,"20,100",,,,,,,,skin-invert,
"Take-Two Interactive Software, Inc.",Take-Two Interactive Logo.svg {{!}} class=skin-invert,44th St 6th Av td 26 - 1133 Avenue of the Americas.jpg,,Headquarters at 1133 [[Avenue of the Americas]],,,[[Public company|Public]],{{Unbulleted list|NASDAQ|TTWO|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|TTWO}},[[Video game industry|Video games]],Worldwide,"{{Unbulleted list
| [[Strauss Zelnick]]
| ([[chairman]] and [[Chief executive officer|CEO]])
| Karl Slatoff ([[President (corporate title)|president]])
| Lainie Goldstein ([[Chief financial officer|CFO]])}}","{{Unbulleted list
| ''[[BioShock (series)|BioShock]]'' series
| ''[[Borderlands (series)|Borderlands]]'' series
| ''[[Civilization (series)|Civilization]]'' series
| ''[[Grand Theft Auto]]'' series
| ''[[Mafia (series)|Mafia]]'' series
| ''[[Max Payne]]'' series
| ''[[Midnight Club]]'' series
| ''[[NBA 2K]]'' series
| ''[[PGA Tour 2K]]'' series
| ''[[Red Dead]]'' series
| ''[[WWE 2K]]'' series
| ''[[XCOM]]'' series}}",,{{Decrease}} {{US$|5.349&nbsp;billion|link|=|yes}},2024,"{{nowrap| |Decrease| |US$|-3.59&nbsp;billion|ref| name=""FY 2024""}} {{Decrease}} {{US$|-3.59&nbsp;billion}}",2024,{{Decrease}} {{US$|-3.74&nbsp;billion}},2024,{{Decrease}} {{US$|12.22&nbsp;billion}},2024,{{Decrease}} {{US$|5.668&nbsp;billion}},2024,,,,[[New York City]],US,"{{Increase}} 12,371",{{URL|https://www.take2games.com/|take2games.com}},,Take-Two Interactive,,,,Ryan Brant,,,,,{{Unbulleted list|[[2K (company)|2K]]|Dynamixyz|[[GameClub]]|[[Ghost Story Games]]|[[NBA 2K League|NBA Take-Two Media]] (50%)|[[Rockstar Games]]|[[Zynga]]}},,{{Start date and age|1993|09|30}},,2024,,,,,,,,,,,,,,,,,,,,,,,,
"Tesla, Inc.",Tesla Motors.svg,Gigafactory Texas Building 1 June 2022.jpg,1.1,"[[Gigafactory Texas]], Tesla's [[headquarters]], just outside of [[Austin, Texas]]",,"Tesla Motors, Inc. (2003–2017)",[[Public company|Public]],"{{Unbulleted list
  | |NASDAQ|TSLA|
  | [[Nasdaq-100]] component
  | [[S&P 100]] component
  | [[S&P 500]] component}} {{NASDAQ|TSLA}}","{{Unbulleted list
  | [[Automotive]]
  | [[Renewable energy industry|Renewable energy]]}}","{{Flatlist|
* East Asia
* Europe
* Middle East
* North America
* Oceania
* Southeast Asia
* Indian Subcontinent}}","{{Unbulleted list
|<!-- Do not add ""Technoking"" or ""Master of Coin"" to the titles in this list until reaching consensus on the Talk page.-->
|   | [[Elon Musk]] ([[CEO]])
   | [[Robyn Denholm]] ([[Chair (officer)|chair]])}}","{{Flatlist| 
* [[Cybertruck]]
* [[Megapack]]
* [[Model 3]]
* [[Model S]]
* [[Tesla Model X|Model X]]
* [[Tesla Model Y|Model Y]]
* [[Tesla Powerwall|Powerwall]]
* [[Tesla Semi|Semi]]
* [[Tesla solar panels|Solar Panels]]
* [[Tesla Solar Roof|Solar Roof]]}}","{{Flatlist|
* [[Tesla Supercharger|Charging]]
* [[#Insurance|insurance]]
* [[#Vehicle servicing|maintenance]]}}",{{increase}} {{US$|97.7 billion|link|=|yes}} (2024),,{{decrease}} {{US$|7.1 billion}} (2024),,{{decrease}} {{US$|7.1 billion}} (2024),,{{increase}} {{US$|122.1 billion}} (2024),,{{increase}} {{US$|72.9 billion}} (2024),,[[Martin Eberhard]]<br />[[Marc Tarpenning]]<br />(See [[#Founding (2003–2004)|§ Founding]]),"{{Start date and age|2003|07|01}} in [[San Carlos, California]], US",,"[[Austin, Texas]]",US,"{{decrease}} 125,665 (2024)",{{URL|https://www.tesla.com/|tesla.com}},Financials {{as of|2024|12|31|df|=|US|lc|=|y}} .<br />References:,"Tesla, Inc.",,,,,,,,,"{{Unbulleted list
  | [[Tesla Automation]]
  | [[Tesla Energy]]}}",Elon Musk (13%),,,,,{{ISIN|sl|=|n|pl|=|y|US88160R1014}},0.55,,"{{Unbulleted list
  | |increase| 1,359 sales, service, and delivery centers
  | |increase| 7,791 [[Tesla Supercharger|Supercharger]] stations|ref| name=""supercharge.info charts""|{{Cite web |title=Supercharger deployment charts |url=https://supercharge.info/charts |access-date=January 27, 2025 |website=Supercharge.info}}|</ref>|}} {{increase}} 1,359 sales, service, and delivery centers {{increase}} 7,791 [[Tesla Supercharger|Supercharger]] stations",,{{infobox network service provider|child|=|yes|asn|=|394161}},,,,,,,,,,,"{{Unbulleted list
  | |decrease| 1,773,443 vehicles (2024)|<!-- Reported in ref 10K_2024 -->|
  | |increase| 31.4 GWh battery energy storage systems (2024)|<!-- Reported in 10K_2024 -->|}} {{decrease}} 1,773,443 vehicles (2024) {{increase}} 31.4 GWh battery energy storage systems (2024)",,,,,,
Texas Instruments Incorporated,Texas Instruments logo 2024.svg,TI signboard Dallas.png,1.1,Sign at TI's Dallas headquarters,,,[[Public company|Public]],{{ubl|NASDAQ|TXN|[[Nasdaq-100]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|TXN}},[[Semiconductors]],,"Haviv Ilan ([[chairman]], [[President (corporate title)|president]], [[Chief executive officer|CEO]]) <br />Ahmad Bahai ([[Chief technology officer|CTO]])",{{ubl|[[Analog electronics]]|[[Calculator]]s|[[Digital signal processor]]s|[[Digital Light Processing|Digital light processors]]|[[Integrated circuit]]s|[[Embedded processor]]s}},,{{decrease}} {{US$|15.6 billion|link|=|yes}} (2024),,{{decrease}} {{US$|5.47 billion}} (2024),,{{decrease}} {{US$|4.80 billion}} (2024),,{{increase}} {{US$|35.5 billion}} (2024),,{{increase}} {{US$|16.9 billion}} (2024),,{{ubl|[[Cecil H. Green]]|[[J. Erik Jonsson]]|[[Eugene McDermott]]|[[Patrick E. Haggerty]]}},,,,,"34,000 (2024)",{{URL|https://www.ti.com/|ti.com}},,Texas Instruments,"The Texas Instruments logo has two components: The written company name and a graphical logo at the top left. The company name Texas Instruments is written across two lines in small caps. The black lettering is centered along the vertical axis. Above the letters Ins of Instruments is a graphical component: The graphic features an approximate outline of the state of Texas using a conformal map projection aligned north. The area is filled with red color. At the top of this area, however, there is an indentation of the shape of the lower-case letter T. Within the blank area of this letter T another red-colored letter, the lower-case letter I, is embedded.",,,,,,,,,,{{start date and age|1930}} (as [[Geophysical Service Incorporated]]) <br /> {{start date and age|1951}} (as Texas Instruments),[[Geophysical Service]],,,,1.3,,,,,,,,,"[[Dallas]], Texas, U.S.",,,,,,,,,,,,
Thomson Reuters Corporation,TR Logo 2024.svg,Bay Adelaide Centre 2.jpg,,"Office at [[Bay Adelaide Centre]], Toronto",,,[[Public company|Public]],{{Unbulleted list|Toronto Stock Exchange|TRI|[[S&P/TSX 60]] component|Nasdaq|TRI|[[Nasdaq-100]] component}} {{Toronto Stock Exchange|TRI}} {{Nasdaq|TRI}},[[Mass media]],Worldwide,"{{ubl|[[David Thomson, 3rd Baron Thomson of Fleet|David Thomson]]<br />([[chairman]])|Steve Hasker|ref|{{cite news |title=Thomson Reuters names new CEO, earnings top estimates |website=[[Reuters]] |date=25 February 2020 |archive-url=https://web.archive.org/web/20230408202403/https://www.reuters.com/article/us-thomson-reuters-results/thomson-reuters-names-new-ceo-earnings-top-estimates-idUSKBN20J1LK |archive-date=8 April 2023 |url-status=live |url=https://www.reuters.com/article/us-thomson-reuters-results/thomson-reuters-names-new-ceo-earnings-top-estimates-idUSKBN20J1LK}}|</ref>|<br />([[President (corporate title)|president]] and [[Chief executive officer|CEO]])}} <br />([[President (corporate title)|president]] and [[Chief executive officer|CEO]])",,,"{{nowrap|increase| |US$|7.258&nbsp;billion|link|=|yes| (2024)|ref| name=""AR""|{{cite web |url=https://www.sec.gov/ix?doc=/Archives/edgar/data/1075124/000119312525048443/d880733dex991.htm |title=2024 Annual Report (Form 40-F) |publisher=US Securities and Exchange Commission |date=6 March 2025}}|</ref>|}} {{increase}} {{US$|7.258&nbsp;billion|link|=|yes}} (2024)",,"{{nowrap|decrease| US$2.109&nbsp;billion (2024)|ref| name=""AR""}} {{decrease}} US$2.109&nbsp;billion (2024)",,"{{nowrap|decrease| US$2.207&nbsp;billion (2024)|ref| name=""AR""}} {{decrease}} US$2.207&nbsp;billion (2024)",,"{{nowrap|decrease| US$18.44&nbsp;billion (2024)|ref| name=""AR""}} {{decrease}} US$18.44&nbsp;billion (2024)",,"{{nowrap|increase| US$12.01&nbsp;billion (2024)|ref| name=""AR""}} {{increase}} US$12.01&nbsp;billion (2024)",,,,,,,"26,400 (2024)",,,Thomson Reuters,,,,,,,230px,,[[West (publisher)|West]],[[The Woodbridge Company]] (67.1%),{{Start date and age|2008|04|17|df|=|yes}},,,,,,,,,,,{{official URL|https://www.thomsonreuters.com}},{{Unbulleted list|[[Thomson Corporation]]|[[Reuters Group]]}},,"[[Toronto]], Ontario",Canada,{{ubl|[[Reuters]]|Openly|Context}},,,,,,,,,,
"Verisk Analytics, Inc.",Verisk Logo.png,Jersey-city-new-jersy-night.jpg,,"Verisk Analytics corporate headquarters in Jersey City, New Jersey",,,[[Public company|Public]],{{ubl|NASDAQ|VRSK|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|VRSK}},[[Data analytics]] and [[risk assessment]],,{{ubl|Lee Shavel ([[Chief executive officer|CEO]])|Bruce Hansen ([[Chairperson|chair]])}},,,{{increase}} {{US$|2.88&nbsp;billion|link|=|yes}} (2024),,{{increase}} {{US$|1.25&nbsp;billion}} (2024),,{{nowrap|increase| |US$|958&nbsp;million| (2024)}} {{increase}} {{US$|958&nbsp;million}} (2024),,{{decrease}} {{US$|4.26&nbsp;billion}} (2024),,{{decrease}} {{US$|105&nbsp;million}} (2024),,,,,,,"7,800 (2024)",{{Official URL}},,Verisk Analytics,,,,,,250px,250px,"[[Jersey City, New Jersey]], U.S.",{{ubl|[[AIR Worldwide]]|[[Insurance Services Office]]|[[Maplecroft]]|[[Xactware]]}},,{{Start date and age|1971}},,,,,,,,,,,,,,,,,,,,,,,,,,
Vertex Pharmaceuticals Incorporated,Vertex logo.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|VRTX|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|VRTX}},{{ubl|[[Pharmaceuticals]] | [[Biotherapy|Biotherapeutics]]}},,"{{Plain list|
* [[Reshma Kewalramani]] ([[President (corporate title)|president]] and [[Chief executive officer|CEO]])
* [[Jeffrey Leiden]] ([[chairman]])
* [[David Altshuler (physician)|David Altshuler]] ([[chief scientific officer|CSO]])}}",[[Pharmaceutical]]s,,{{increase}} {{US$|11.02 billion|link|=|yes}} (2024),,{{decrease}} {{US$|-233 million}} (2024),,{{decrease}} {{US$|-536 million}} (2024),,{{decrease}} {{US$|22.53 billion}} (2024),,{{decrease}} {{US$|16.41 billion}} (2024),,,{{Start date and age|1989}},,,,"6,100 (2024)",{{url|https://www.vrtx.com/|vrtx.com}},,Vertex Pharmaceuticals,,,,,,,,"[[Boston, Massachusetts]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warner Bros. Discovery, Inc.",Warner Bros. Discovery.svg,,,"WBD's headquarters in 230 [[Park Avenue South]], [[New York City]]",,,[[Public company|Public]],"{{ublist
| |NASDAQ|WBD| (Series A)
| [[Nasdaq-100]] component
| [[S&P 500]] component|ref|{{cite web|url=https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220407-1451476/1451476_attspinwbd5.pdf|title=S&P Dow Jones Indices Announces Treatment of AT&T Transaction with Discovery|website=[[S&P Dow Jones Indices]]|publisher=[[S&P Global]]|date=April 7, 2022|access-date=May 24, 2022|archive-date=April 7, 2022|archive-url=https://web.archive.org/web/20220407214356/https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220407-1451476/1451476_attspinwbd5.pdf|url-status=live}}|</ref>|}} {{NASDAQ|WBD}} (Series A)","{{ublist
| [[Media conglomerate|Media]]
| [[Outline of entertainment|Entertainment]]}}",Worldwide,{{Unbulleted list|[[Samuel DiPiazza]] ([[Chairperson|chairman]])|[[David Zaslav]] ([[President (corporate title)|president]] and [[Chief executive officer|CEO]])|[[John C. Malone]] ([[chairman emeritus]])}},,,{{down}} {{US$|39.32 billion|link|=|yes}},2024,{{IncreaseNegative}} US$−10.03 billion,2024,{{IncreaseNegative}} US$−11.31 billion,2024,{{Decrease}} US$104.6 billion,2024,{{Decrease}} US$34.04 billion,2024,,{{start date and age|2022|04|08}},230 [[Park Avenue South]],"[[New York City, New York]]",United States,"35,000",{{URL|https://www.wbd.com/|wbd.com}},,Warner Bros. Discovery,,,,,{{hlist|[[HBO Max]]|[[HBO]]|[[Warner Bros.]]|[[HGTV]]|[[Discovery Channel]]|[[Discovery+]]|[[CNN]]|[[TBS (American TV channel)|TBS]]|[[Food Network]]|[[TNT (American TV network)|TNT]]|[[Oprah Winfrey Network]]|[[Investigation Discovery]]|[[TLC (TV network)|TLC]]|[[DC Comics]]|[[Warner Bros. Television Group]]|[[Warner Bros. Pictures]]|[[TNT Sports]]|[[Eurosport]]|[[Magnolia Network]]|[[Cooking Channel (American TV channel)|Cooking Channel]]|[[Warner Bros. Games]]|[[Animal Planet]]|[[Adult Swim]]|[[HLN (TV network)|HLN]]|[[Cartoon Network]]|[[New Line Cinema]]|[[Golf Digest]]|[[Travel Channel]]|[[Hogar de HGTV]]|[[Warner Bros. Pictures Animation]]|[[Cartoonito]]|[[Quest (British TV channel)|Quest]]|[[Quest Red]]|[[TruTV]]|[[Cinemax]]|[[TVN (Polish TV channel)|TVN]]|[[Science Channel]]|[[American Heroes Channel]]|[[Asian Food Network]]|[[Bleacher Report]]|[[Destination America]]|[[Turner Classic Movies]]|[[Discovery Family]]|[[Boomerang (TV network)|Boomerang]]|[[DMAX (TV channel)|DMAX]]|[[Real Time (TV channel)|Real Time]]|[[Giallo (TV channel)|Giallo]]|[[Frisbee (TV channel)|Frisbee]]|[[K2 (TV channel)|K2]]|[[Nove (TV channel)|Nove]]|[[Canal 9 (Danish TV channel)|Canal 9]]|[[Discovery Familia]]|[[Space (Latin American TV channel)|Space]]|[[Discovery Life]]|[[Pogo (TV channel)|Pogo]]|[[Tooncast]]|[[CNN en Español]]|[[Warner TV]]|[[Boing (TV channel)|Boing]]}},270px,,,[[List of assets owned by Warner Bros. Discovery]],[[Advance Publications]] (3.97%),,,2024,,{{ISIN|sl|=|n|pl|=|y|US9344231041}},,Logo used since 2022,,,,,,"{{ublist
| [[WarnerMedia]]
| [[Discovery, Inc.]]}}",,,,"{{Unbulleted list
   | Streaming and Studios
   | Global Linear Networks}}",,,,,{{end date and age|2026|04}} (expected),,,,,
,Workday logo.svg,Workday Headquarters.jpg,,"Headquarters in Pleasanton, California",,,[[Public company|Public]],"{{ubl| class|=|nowrap
 | |NASDAQ|WDAY| (Class A)
 | [[Nasdaq-100]] component
 | [[S&P 500]] component}} {{NASDAQ|WDAY}} (Class A)",{{ubl|[[Cloud computing]]|[[Enterprise software]]}},Worldwide,"{{ubl|
 | Aneel Bhusri (executive chairman)
 | Carl Eschenbach (CEO)}}",,{{ubl|class|=|nowrap| [[Software]] | [[Cloud computing|Cloud]]}},{{up}} {{US$|8.45&nbsp;billion|link|=|yes}} (2025),,{{up}} {{US$}} 415&nbsp;million (2025),,{{down}} {{US$}} 526&nbsp;million (2025),,{{up}} {{US$}} 18.0&nbsp;billion (2025),,{{up}} {{US$}} 9.03&nbsp;billion (2025),,"{{ubl| class|=|nowrap
 | [[Dave Duffield]]
 | [[Aneel Bhusri]]}}",{{Start date and age|2005|03}},"[[Pleasanton, California]], U.S.",,,"20,400 (2025)",{{URL|workday.com}},Financials {{as of|2025|01|31|lc|=|y|df|=|US}} .,"Workday, Inc.",,,,,,,,,,,,,,,{{ISIN|sl|=|n|pl|=|y|US98138H1014}},,,,,,,,,,,,,,,,,,,,,,
Xcel Energy Inc.,Xcel-energy.svg,ExcelEnergyDenver.jpg,,"1800 Larimer, Xcel Energy Regional Headquarters, in [[Denver]], Colorado",,,[[Public company|Public]],{{ubl|NASDAQ|XEL|[[DJUA]] component|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|XEL}},[[Public utility|Utilities]],"{{ubl|'''NSPM:''' Minnesota, North Dakota, and South Dakota|'''NSPW:''' Michigan and Wisconsin|'''PSCo:''' Colorado|'''SPS:''' New Mexico and Texas}}","{{ubl|Robert C. Frenzel ([[Chairperson|chairman]], [[President (corporate title)|president]], and [[Chief executive officer|CEO]])|Timothy O'Connor (Executive [[Vice President|VP]] and [[Chief operating officer|COO]])|Brian J. Van Abel (Executive VP and [[Chief financial officer|CFO]])}}",{{ubl|[[Electric power industry|Electric Power]]|[[Natural Gas]]}},,"{{decrease}} {{US$|13.44&nbsp;[[1,000,000,000|billion]]|link|=|yes}}",2024,{{decrease}} {{US$|2.386&nbsp;billion}},2024,{{increase}} {{US$|1.936&nbsp;billion}},2024,{{increase}} {{US$|70.04&nbsp;billion}},2024,{{increase}} {{US$|19.52&nbsp;billion}},2024,,"{{start date and age|1909|06|17}} in [[Stillwater, Minnesota]], U.S. (as Washington County Light & Power Company)",,"[[Minneapolis]], Minnesota",U.S.,"11,380",{{URL|https://my.xcelenergy.com|my.xcelenergy.com}},,Xcel Energy,,,,H.M. Byllesby,,,,,{{ubl|[[Northern States Power Company|Northern States Power Company (Minnesota)]]|Northern States Power Company (Wisconsin)|Public Service Company of Colorado|Southwestern Public Service Company|[[NRG Energy]] (1992–2003)}},,,,2024,,,,,,,,,,,,,,,,,,{{ubl|Electric: 114.98 [[TWh]]|Natural Gas: 406.74 [[British thermal unit|TBtu]]|(2023)}},,,,,,
"Zscaler, Inc.",Zscaler logo.svg,,,,,"SafeChannel, Inc.",[[Public company|Public]],{{ubl|NASDAQ|ZS|[[Nasdaq-100]] component}} {{NASDAQ|ZS}},"[[Network security]], [[computer security]], [[Internet security]]",Worldwide,{{Unbulleted list|[[Jay Chaudhry]] ([[CEO]])|Remo Canessa (CFO)|ref|{{cite web|url=https://www.wsj.com/articles/zscaler-hires-cfo-with-ipo-experience-1486729801|title=ZScaler Hires CFO with IPO Experience|date=10 February 2017|publisher=Wall Street Journal|access-date=22 May 2017}}|</ref>}},,,{{Increase}} {{US$|2.17 billion|link|=|yes}} (2024),,{{IncreaseNegative}} {{US$|-121 million}} (2024),,{{IncreaseNegative}} {{US$|-58 million}} (2024),,{{Increase}} {{US$|4.70 billion}} (2024),,{{Increase}} {{US$|1.27 billion}} (2024),,{{ubl|[[Jay Chaudhry]]|Kailash Kailash}},{{Start date and age|2007}},,,,"7,348 (2024)",{{official URL}},,Zscaler,,,,,,,,"[[San Jose, California]]",,,,,,,,,,,,{{infobox network service provider|child|=|yes|asn|=|22616}},,,,,,U.S.,,,,,,,,,,,
